Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
C Options User Todos,5112,703,530,1097,1508,2558,357,7340,0.215%,13.23447,15.70,1.90
C Options User Albums ,5108,463,359,720,936,1688,144,5428,0.098%,13.24040,15.77,1.91
C Options Albums Photos,5103,467,359,719,936,1786,233,7089,0.137%,13.23941,15.77,1.92
C Delete Post,5096,485,363,759,1008,2190,275,6500,0.235%,13.23296,17.00,2.88
C Put Post request,5084,488,364,738,993,2605,141,4924,0.118%,13.21402,18.01,3.58
C Post User Todos,5078,485,362,750,1075,2141,156,7359,0.138%,13.21089,19.13,3.67
C Post User Posts,5071,479,362,686,1034,1941,203,6992,0.158%,13.20501,19.15,6.40
C Post User Albums ,5063,487,363,749,1056,1929,81,4871,0.198%,13.19658,19.16,3.37
C Post Albums Photos,5053,480,363,718,994,1860,165,7211,0.040%,13.18361,19.17,5.33
C Post Request,5051,470,364,701,939,1706,162,7687,0.218%,13.19116,19.47,3.16
C Get Posts,5040,381,203,718,1095,3212,129,13940,0.079%,13.17454,370.96,1.74
C Get User Albums ,5036,276,172,454,710,1650,72,6475,0.040%,13.16997,27.66,1.85
C Get User Todos,5034,268,173,436,709,1468,125,4659,0.079%,13.17084,46.38,1.84
C Get Albums Photos,5029,309,181,546,824,1964,69,10590,0.099%,13.16313,155.00,1.86
C Get Post Comments By Id,5024,274,174,446,715,1431,130,7144,0.080%,13.15535,36.50,1.89
C Get Post Comments,5020,273,173,456,737,1417,120,11811,0.020%,13.15190,36.49,1.87
C Get Posts By Id,5019,265,170,445,708,1299,120,12963,0.139%,13.15403,21.03,1.76
TOTAL,86021,416,349,687,970,1929,69,13940,0.123%,222.69598,864.39,46.61
