Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
C Options User Todos,5112,703,357,7340,493.63,0.215%,13.23447,15.70,1.90,1215.0
C Options User Albums ,5108,463,144,5428,329.51,0.098%,13.24040,15.77,1.91,1219.4
C Options Albums Photos,5103,467,233,7089,354.28,0.137%,13.23941,15.77,1.92,1219.9
C Delete Post,5096,485,275,6500,400.76,0.235%,13.23296,17.00,2.88,1315.4
C Put Post request,5084,488,141,4924,426.87,0.118%,13.21402,18.01,3.58,1396.0
C Post User Todos,5078,485,156,7359,416.46,0.138%,13.21089,19.13,3.67,1483.0
C Post User Posts,5071,479,203,6992,404.67,0.158%,13.20501,19.15,6.40,1484.7
C Post User Albums ,5063,487,81,4871,403.73,0.198%,13.19658,19.16,3.37,1486.4
C Post Albums Photos,5053,480,165,7211,403.55,0.040%,13.18361,19.17,5.33,1489.0
C Post Request,5051,470,162,7687,351.41,0.218%,13.19116,19.47,3.16,1511.2
C Get Posts,5040,381,129,13940,565.21,0.079%,13.17454,370.96,1.74,28832.8
C Get User Albums ,5036,276,72,6475,378.24,0.040%,13.16997,27.66,1.85,2150.7
C Get User Todos,5034,268,125,4659,310.65,0.079%,13.17084,46.38,1.84,3605.8
C Get Albums Photos,5029,309,69,10590,428.50,0.099%,13.16313,155.00,1.86,12058.0
C Get Post Comments By Id,5024,274,130,7144,346.17,0.080%,13.15535,36.50,1.89,2841.3
C Get Post Comments,5020,273,120,11811,373.76,0.020%,13.15190,36.49,1.87,2841.4
C Get Posts By Id,5019,265,120,12963,350.72,0.139%,13.15403,21.03,1.76,1637.0
TOTAL,86021,416,69,13940,417.87,0.123%,222.69598,864.39,46.61,3974.6
