Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
UTC Options User Todos,1179,25201,21499,21569,157012,195640,433,479989,6.955%,2.35335,3.06,0.31
UTC Options User Albums ,1070,1130,337,376,451,21495,307,207943,0.374%,3.21432,3.83,0.46
UTC Options Albums Photos,1056,559,337,366,402,801,307,148755,0.284%,3.78803,4.51,0.55
UTC Delete Post,1052,391,339,368,406,637,311,21523,0.000%,3.79139,4.84,0.83
UTC Put Post request,1046,354,341,371,401,759,312,1210,0.000%,3.81023,5.17,1.03
UTC Post User Todos,1040,355,339,373,425,806,312,1210,0.000%,3.78833,5.46,1.05
UTC Post User Posts,1034,354,340,370,418,736,309,1255,0.000%,3.76652,5.43,1.83
UTC Post User Albums ,1023,352,340,371,400,584,311,1693,0.000%,3.72633,5.38,0.95
UTC Post Albums Photos,1011,353,340,372,413,652,311,1209,0.000%,3.68095,5.33,1.49
UTC Post Request,999,349,340,365,399,543,311,1210,0.000%,3.63613,5.33,0.87
UTC Get Posts,994,178,157,244,301,527,124,1075,0.000%,3.64607,102.74,0.48
UTC Get User Albums ,991,158,149,178,201,386,119,964,0.000%,3.63532,7.63,0.51
UTC Get User Todos,989,163,150,189,242,380,119,1052,0.000%,3.62804,12.78,0.51
UTC Get Albums Photos,988,168,153,194,261,542,124,1080,0.000%,3.62437,42.71,0.51
UTC Get Post Comments By Id,988,162,150,186,228,408,121,876,0.000%,3.62403,10.06,0.52
UTC Get Post Comments,983,160,150,182,216,344,122,1023,0.000%,3.60566,10.00,0.51
UTC Get Posts By Id,979,158,148,177,212,346,124,841,0.000%,3.59166,5.74,0.48
C Options User Todos,5112,703,530,1097,1508,2558,357,7340,0.215%,13.23447,15.70,1.90
C Options User Albums ,5108,463,359,720,936,1688,144,5428,0.098%,13.24040,15.77,1.91
C Options Albums Photos,5103,467,359,719,936,1786,233,7089,0.137%,13.23941,15.77,1.92
C Delete Post,5096,485,363,759,1008,2190,275,6500,0.235%,13.23296,17.00,2.88
C Put Post request,5084,488,364,738,993,2605,141,4924,0.118%,13.21402,18.01,3.58
C Post User Todos,5078,485,362,750,1075,2141,156,7359,0.138%,13.21089,19.13,3.67
C Post User Posts,5071,479,362,686,1034,1941,203,6992,0.158%,13.20501,19.15,6.40
C Post User Albums ,5063,487,363,749,1056,1929,81,4871,0.198%,13.19658,19.16,3.37
C Post Albums Photos,5053,480,363,718,994,1860,165,7211,0.040%,13.18361,19.17,5.33
C Post Request,5051,470,364,701,939,1706,162,7687,0.218%,13.19116,19.47,3.16
C Get Posts,5040,381,203,718,1095,3212,129,13940,0.079%,13.17454,370.96,1.74
C Get User Albums ,5036,276,172,454,710,1650,72,6475,0.040%,13.16997,27.66,1.85
C Get User Todos,5034,268,173,436,709,1468,125,4659,0.079%,13.17084,46.38,1.84
C Get Albums Photos,5029,309,181,546,824,1964,69,10590,0.099%,13.16313,155.00,1.86
C Get Post Comments By Id,5024,274,174,446,715,1431,130,7144,0.080%,13.15535,36.50,1.89
C Get Post Comments,5020,273,173,456,737,1417,120,11811,0.020%,13.15190,36.49,1.87
C Get Posts By Id,5019,265,170,445,708,1299,120,12963,0.139%,13.15403,21.03,1.76
S Options User Todos,2450,607,512,867,1146,1838,105,4947,0.163%,8.00790,9.48,1.15
S Options User Albums ,2446,409,351,473,779,1315,292,4290,0.041%,8.01796,9.53,1.16
S Options Albums Photos,2445,406,351,489,740,1213,283,4634,0.123%,8.02373,9.55,1.17
S Delete Post,2442,416,354,518,790,1310,260,3499,0.328%,8.02297,10.31,1.74
S Put Post request,2434,412,356,512,759,1232,293,2597,0.082%,8.00597,10.90,2.17
S Post User Posts,2432,415,355,519,759,1433,300,2803,0.329%,8.00901,11.61,3.87
S Post User Todos,2424,418,355,494,787,1361,274,9670,0.206%,7.99227,11.58,2.22
S Post User Albums ,2419,410,355,530,699,1202,253,3698,0.248%,7.98497,11.59,2.04
S Post Albums Photos,2413,413,356,507,774,1297,286,3270,0.290%,7.97475,11.61,3.21
S Post Request,2406,419,355,541,818,1446,63,3455,0.457%,7.96067,11.76,1.90
S Get Posts,2395,312,178,554,864,2149,134,7233,0.418%,7.93330,222.68,1.04
S Get User Albums ,2385,240,165,349,669,1283,7,7108,0.168%,7.90442,16.61,1.11
S Get User Todos,2381,232,166,355,577,1268,31,4476,0.042%,7.89579,27.80,1.10
S Get Albums Photos,2380,282,171,472,721,1904,58,10882,0.210%,7.89559,92.89,1.12
S Get Post Comments By Id,2375,232,166,349,561,1224,25,6108,0.211%,7.88319,21.87,1.13
S Get Post Comments,2370,232,166,360,583,1216,61,7317,0.295%,7.87033,21.83,1.12
S Get Posts By Id,2363,211,164,282,445,922,124,3925,0.127%,7.85112,12.55,1.05
Get Posts,50,389,321,498,652,1612,279,1612,0.000%,4.95295,139.51,0.65
Get User Albums ,50,189,162,176,206,1077,137,1077,0.000%,5.10152,10.71,0.72
Get User Todos,50,159,157,174,179,189,135,189,0.000%,5.31406,18.71,0.74
