Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
UTC Options User Todos,1179,25201,433,479989,42730.36,6.955%,2.35335,3.06,0.31,1331.1
UTC Options User Albums ,1070,1130,307,207943,10234.25,0.374%,3.21432,3.83,0.46,1219.5
UTC Options Albums Photos,1056,559,307,148755,4742.86,0.284%,3.78803,4.51,0.55,1218.3
UTC Delete Post,1052,391,311,21523,924.29,0.000%,3.79139,4.84,0.83,1306.9
UTC Put Post request,1046,354,312,1210,71.55,0.000%,3.81023,5.17,1.03,1388.7
UTC Post User Todos,1040,355,312,1210,81.03,0.000%,3.78833,5.46,1.05,1475.6
UTC Post User Posts,1034,354,309,1255,74.58,0.000%,3.76652,5.43,1.83,1476.8
UTC Post User Albums ,1023,352,311,1693,73.76,0.000%,3.72633,5.38,0.95,1477.8
UTC Post Albums Photos,1011,353,311,1209,64.95,0.000%,3.68095,5.33,1.49,1482.6
UTC Post Request,999,349,311,1210,53.30,0.000%,3.63613,5.33,0.87,1502.3
UTC Get Posts,994,178,124,1075,84.23,0.000%,3.64607,102.74,0.48,28853.6
UTC Get User Albums ,991,158,119,964,53.47,0.000%,3.63532,7.63,0.51,2150.3
UTC Get User Todos,989,163,119,1052,65.47,0.000%,3.62804,12.78,0.51,3606.3
UTC Get Albums Photos,988,168,124,1080,70.55,0.000%,3.62437,42.71,0.51,12067.3
UTC Get Post Comments By Id,988,162,121,876,59.69,0.000%,3.62403,10.06,0.52,2841.2
UTC Get Post Comments,983,160,122,1023,52.63,0.000%,3.60566,10.00,0.51,2841.2
UTC Get Posts By Id,979,158,124,841,51.93,0.000%,3.59166,5.74,0.48,1635.2
C Options User Todos,5112,703,357,7340,493.63,0.215%,13.23447,15.70,1.90,1215.0
C Options User Albums ,5108,463,144,5428,329.51,0.098%,13.24040,15.77,1.91,1219.4
C Options Albums Photos,5103,467,233,7089,354.28,0.137%,13.23941,15.77,1.92,1219.9
C Delete Post,5096,485,275,6500,400.76,0.235%,13.23296,17.00,2.88,1315.4
C Put Post request,5084,488,141,4924,426.87,0.118%,13.21402,18.01,3.58,1396.0
C Post User Todos,5078,485,156,7359,416.46,0.138%,13.21089,19.13,3.67,1483.0
C Post User Posts,5071,479,203,6992,404.67,0.158%,13.20501,19.15,6.40,1484.7
C Post User Albums ,5063,487,81,4871,403.73,0.198%,13.19658,19.16,3.37,1486.4
C Post Albums Photos,5053,480,165,7211,403.55,0.040%,13.18361,19.17,5.33,1489.0
C Post Request,5051,470,162,7687,351.41,0.218%,13.19116,19.47,3.16,1511.2
C Get Posts,5040,381,129,13940,565.21,0.079%,13.17454,370.96,1.74,28832.8
C Get User Albums ,5036,276,72,6475,378.24,0.040%,13.16997,27.66,1.85,2150.7
C Get User Todos,5034,268,125,4659,310.65,0.079%,13.17084,46.38,1.84,3605.8
C Get Albums Photos,5029,309,69,10590,428.50,0.099%,13.16313,155.00,1.86,12058.0
C Get Post Comments By Id,5024,274,130,7144,346.17,0.080%,13.15535,36.50,1.89,2841.3
C Get Post Comments,5020,273,120,11811,373.76,0.020%,13.15190,36.49,1.87,2841.4
C Get Posts By Id,5019,265,120,12963,350.72,0.139%,13.15403,21.03,1.76,1637.0
S Options User Todos,2450,607,105,4947,296.25,0.163%,8.00790,9.48,1.15,1212.5
S Options User Albums ,2446,409,292,4290,229.53,0.041%,8.01796,9.53,1.16,1217.4
S Options Albums Photos,2445,406,283,4634,221.52,0.123%,8.02373,9.55,1.17,1218.7
S Delete Post,2442,416,260,3499,213.58,0.328%,8.02297,10.31,1.74,1315.5
S Put Post request,2434,412,293,2597,186.62,0.082%,8.00597,10.90,2.17,1394.2
S Post User Posts,2432,415,300,2803,215.36,0.329%,8.00901,11.61,3.87,1484.2
S Post User Todos,2424,418,274,9670,288.73,0.206%,7.99227,11.58,2.22,1484.1
S Post User Albums ,2419,410,253,3698,192.63,0.248%,7.98497,11.59,2.04,1485.8
S Post Albums Photos,2413,413,286,3270,195.08,0.290%,7.97475,11.61,3.21,1491.1
S Post Request,2406,419,63,3455,217.18,0.457%,7.96067,11.76,1.90,1513.1
S Get Posts,2395,312,134,7233,405.44,0.418%,7.93330,222.68,1.04,28743.3
S Get User Albums ,2385,240,7,7108,305.08,0.168%,7.90442,16.61,1.11,2151.4
S Get User Todos,2381,232,31,4476,254.36,0.042%,7.89579,27.80,1.10,3605.9
S Get Albums Photos,2380,282,58,10882,460.24,0.210%,7.89559,92.89,1.12,12047.4
S Get Post Comments By Id,2375,232,25,6108,266.88,0.211%,7.88319,21.87,1.13,2840.3
S Get Post Comments,2370,232,61,7317,255.13,0.295%,7.87033,21.83,1.12,2839.6
S Get Posts By Id,2363,211,124,3925,199.81,0.127%,7.85112,12.55,1.05,1636.7
Get Posts,50,389,279,1612,199.78,0.000%,4.95295,139.51,0.65,28843.1
Get User Albums ,50,189,137,1077,141.92,0.000%,5.10152,10.71,0.72,2149.1
Get User Todos,50,159,135,189,11.35,0.000%,5.31406,18.71,0.74,3605.4
Get Albums Photos,50,188,141,1170,142.88,0.000%,5.30898,62.56,0.75,12066.8
Get Post Comments By Id,50,197,138,720,124.19,0.000%,5.31463,14.74,0.76,2840.5
Get Post Comments,50,180,135,763,90.02,0.000%,5.32481,14.77,0.76,2840.3
Get Posts By Id,50,176,134,946,111.53,0.000%,5.34074,8.52,0.71,1634.3
Post User Posts,50,376,330,849,96.69,0.000%,5.06791,7.28,2.46,1470.7
Post User Todos,50,353,325,455,18.48,0.000%,5.06688,7.27,1.41,1470.1
Post User Albums ,50,354,326,422,16.05,0.000%,5.03018,7.23,1.29,1471.1
Post Albums Photos,50,354,328,421,17.22,0.000%,5.01706,7.23,2.03,1474.9
Post Request,50,357,329,447,25.14,0.000%,5.01605,7.32,1.21,1495.3
Delete Post,50,359,326,716,53.50,0.000%,5.01203,6.38,1.09,1303.4
Put Post request,50,352,330,392,13.94,0.000%,4.99351,6.76,1.36,1385.4
Options User Todos,50,373,331,740,89.17,0.000%,5.00651,5.91,0.72,1208.8
Options User Albums ,50,364,324,725,74.21,0.000%,4.94903,5.84,0.72,1208.9
Options Albums Photos,50,360,327,511,34.77,0.000%,4.91642,5.80,0.72,1208.8
TOTAL,145253,591,7,479989,4566.45,0.196%,85.85215,332.18,17.97,3962.0
