Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Posts,50,373,355,455,514,908,275,908,0.000%,4.94658,139.32,0.65
Get User Albums ,50,172,170,199,201,210,142,210,0.000%,5.12768,10.76,0.72
C Options User Todos,50263,1351,551,1024,1543,21578,55,1998012,0.163%,14.22338,16.87,2.04
Get User Todos,50,197,177,220,235,687,137,687,0.000%,5.12243,18.04,0.72
Get Albums Photos,50,263,179,551,737,1001,146,1001,0.000%,4.84637,57.11,0.69
C Options User Albums ,50246,585,371,421,798,1080,107,1823881,0.028%,14.22132,16.91,2.05
UTC Options User Todos,3456,791,564,1415,1734,2902,449,10549,0.000%,11.54494,13.66,1.66
Get Post Comments By Id,50,177,176,198,205,293,142,293,0.000%,4.82859,13.39,0.69
Get Post Comments,50,213,174,238,243,1499,143,1499,0.000%,4.81186,13.35,0.69
C Options Albums Photos,50238,409,371,420,777,1056,47,21626,0.016%,14.22050,16.91,2.07
UTC Options User Albums ,3440,544,376,951,1190,2334,319,18306,0.000%,11.49713,13.67,1.66
Get Posts By Id,50,175,175,199,213,263,141,263,0.000%,4.80307,7.66,0.64
C Delete Post,50229,408,374,421,755,1029,71,12450,0.016%,14.21927,18.21,3.10
UTC Options Albums Photos,3426,518,378,887,1125,1942,311,20278,0.000%,11.57593,13.77,1.68
Post User Posts,50,374,365,389,394,896,334,896,0.000%,4.71698,6.77,2.29
C Put Post request,50221,412,376,426,763,1070,113,55431,0.014%,14.21837,19.35,3.86
UTC Delete Post,3414,532,380,898,1170,1900,322,22379,0.000%,11.53495,14.78,2.51
Post User Todos,50,379,361,384,388,917,330,917,0.000%,4.70588,6.76,1.31
C Post User Todos,50214,412,374,423,662,1200,144,16438,0.018%,14.21785,20.56,3.96
UTC Put Post request,3400,520,382,863,1108,2111,320,9498,0.000%,11.48959,15.65,3.12
Post User Albums ,50,376,361,399,406,913,329,913,0.000%,4.73216,6.81,1.21
UTC Post User Todos,3387,514,380,780,1119,2122,321,27540,0.000%,11.44466,16.55,3.19
C Post User Posts,50206,412,374,424,647,1185,27,20691,0.012%,14.21700,20.58,6.90
Post Albums Photos,50,369,363,385,400,534,329,534,0.000%,4.71209,6.79,1.91
UTC Post User Posts,3374,506,381,845,1126,2049,325,6941,0.000%,11.39580,16.50,5.53
C Post User Albums ,50200,411,374,426,670,1155,62,6995,0.014%,14.21743,20.60,3.64
Post Request,50,375,365,382,386,934,333,934,0.000%,4.69351,6.86,1.13
UTC Post User Albums ,3366,526,380,823,1108,2152,318,26133,0.000%,11.36755,16.48,2.91
C Post Albums Photos,50194,411,374,428,687,1139,70,5943,0.014%,14.21716,20.66,5.75
Delete Post,50,371,364,390,395,709,334,709,0.000%,4.67596,5.96,1.02
UTC Post Albums Photos,3355,510,381,835,1111,1980,322,8316,0.000%,11.34289,16.49,4.59
C Post Request,50189,410,374,424,682,1124,69,7183,0.012%,14.21728,20.94,3.42
Put Post request,50,376,367,392,396,891,335,891,0.000%,4.65810,6.32,1.26
UTC Post Request,3343,522,379,816,1118,2274,320,20651,0.000%,11.35040,16.72,2.73
C Get Posts,50183,327,208,548,813,1763,135,28559,0.006%,14.21703,400.56,1.87
UTC Get Posts,3330,837,493,1728,2377,5534,134,26653,0.000%,11.31299,318.74,1.49
Options User Todos,50,368,363,383,384,672,335,672,0.000%,4.64468,5.51,0.67
C Get User Albums ,50180,222,182,229,588,979,50,21868,0.004%,14.21694,29.86,2.00
UTC Get User Albums ,3315,367,189,762,1114,2496,134,24149,0.000%,11.26073,23.64,1.58
C Get User Todos,50177,233,184,363,605,967,84,11734,0.006%,14.21682,50.07,1.99
UTC Get User Todos,3307,396,200,799,1082,2288,131,71853,0.000%,11.22772,39.53,1.57
Options User Albums ,50,367,360,380,384,809,330,809,0.000%,4.63650,5.50,0.67
C Get Albums Photos,50174,273,192,465,713,1263,129,26933,0.006%,14.21670,167.53,2.01
UTC Get Albums Photos,3297,621,357,1285,1836,3755,132,24794,0.000%,11.19319,131.90,1.58
C Get Post Comments By Id,50171,229,185,323,500,989,130,12941,0.002%,14.21659,39.44,2.04
UTC Get Post Comments By Id,3289,342,200,708,985,1975,134,6004,0.000%,11.16615,30.97,1.60
Options Albums Photos,50,367,359,384,388,746,330,746,0.000%,4.47307,5.31,0.65
C Get Post Comments,50170,232,185,339,577,984,61,25636,0.006%,14.21702,39.47,2.03
UTC Get Post Comments,3279,361,203,670,960,2038,129,38446,0.000%,11.13231,30.88,1.59
C Get Posts By Id,50167,216,182,230,488,905,130,6290,0.006%,14.21684,22.71,1.90
UTC Get Posts By Id,3264,313,194,691,861,1593,128,7134,0.000%,11.08150,17.69,1.48
S Options User Todos,3298,713,549,1131,1548,2944,449,15566,0.000%,8.27589,9.79,1.19
S Options User Albums ,3292,466,371,785,958,1655,318,9688,0.000%,8.26845,9.84,1.20
S Options Albums Photos,3281,450,371,744,917,1477,321,4214,0.000%,8.24082,9.80,1.20
S Delete Post,3271,441,373,627,872,1384,322,4143,0.000%,8.24307,10.56,1.80
S Put Post request,3268,463,375,736,879,1591,324,15517,0.000%,8.23562,11.21,2.24
S Post User Posts,3262,447,374,580,906,1444,321,9955,0.000%,8.22072,11.89,3.99
