Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
S Options User Todos,2450,607,512,867,1146,1838,105,4947,0.163%,8.00790,9.48,1.15
S Options User Albums ,2446,409,351,473,779,1315,292,4290,0.041%,8.01796,9.53,1.16
S Options Albums Photos,2445,406,351,489,740,1213,283,4634,0.123%,8.02373,9.55,1.17
S Delete Post,2442,416,354,518,790,1310,260,3499,0.328%,8.02297,10.31,1.74
S Put Post request,2434,412,356,512,759,1232,293,2597,0.082%,8.00597,10.90,2.17
S Post User Posts,2432,415,355,519,759,1433,300,2803,0.329%,8.00901,11.61,3.87
S Post User Todos,2424,418,355,494,787,1361,274,9670,0.206%,7.99227,11.58,2.22
S Post User Albums ,2419,410,355,530,699,1202,253,3698,0.248%,7.98497,11.59,2.04
S Post Albums Photos,2413,413,356,507,774,1297,286,3270,0.290%,7.97475,11.61,3.21
S Post Request,2406,419,355,541,818,1446,63,3455,0.457%,7.96067,11.76,1.90
S Get Posts,2395,312,178,554,864,2149,134,7233,0.418%,7.93330,222.68,1.04
S Get User Albums ,2385,240,165,349,669,1283,7,7108,0.168%,7.90442,16.61,1.11
S Get User Todos,2381,232,166,355,577,1268,31,4476,0.042%,7.89579,27.80,1.10
S Get Albums Photos,2380,282,171,472,721,1904,58,10882,0.210%,7.89559,92.89,1.12
S Get Post Comments By Id,2375,232,166,349,561,1224,25,6108,0.211%,7.88319,21.87,1.13
S Get Post Comments,2370,232,166,360,583,1216,61,7317,0.295%,7.87033,21.83,1.12
S Get Posts By Id,2363,211,164,282,445,922,124,3925,0.127%,7.85112,12.55,1.05
TOTAL,40960,358,345,528,754,1448,7,10882,0.220%,133.87677,517.55,28.03
