Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
S Options User Todos,2450,607,105,4947,296.25,0.163%,8.00790,9.48,1.15,1212.5
S Options User Albums ,2446,409,292,4290,229.53,0.041%,8.01796,9.53,1.16,1217.4
S Options Albums Photos,2445,406,283,4634,221.52,0.123%,8.02373,9.55,1.17,1218.7
S Delete Post,2442,416,260,3499,213.58,0.328%,8.02297,10.31,1.74,1315.5
S Put Post request,2434,412,293,2597,186.62,0.082%,8.00597,10.90,2.17,1394.2
S Post User Posts,2432,415,300,2803,215.36,0.329%,8.00901,11.61,3.87,1484.2
S Post User Todos,2424,418,274,9670,288.73,0.206%,7.99227,11.58,2.22,1484.1
S Post User Albums ,2419,410,253,3698,192.63,0.248%,7.98497,11.59,2.04,1485.8
S Post Albums Photos,2413,413,286,3270,195.08,0.290%,7.97475,11.61,3.21,1491.1
S Post Request,2406,419,63,3455,217.18,0.457%,7.96067,11.76,1.90,1513.1
S Get Posts,2395,312,134,7233,405.44,0.418%,7.93330,222.68,1.04,28743.3
S Get User Albums ,2385,240,7,7108,305.08,0.168%,7.90442,16.61,1.11,2151.4
S Get User Todos,2381,232,31,4476,254.36,0.042%,7.89579,27.80,1.10,3605.9
S Get Albums Photos,2380,282,58,10882,460.24,0.210%,7.89559,92.89,1.12,12047.4
S Get Post Comments By Id,2375,232,25,6108,266.88,0.211%,7.88319,21.87,1.13,2840.3
S Get Post Comments,2370,232,61,7317,255.13,0.295%,7.87033,21.83,1.12,2839.6
S Get Posts By Id,2363,211,124,3925,199.81,0.127%,7.85112,12.55,1.05,1636.7
TOTAL,40960,358,7,10882,287.91,0.220%,133.87677,517.55,28.03,3958.7
