Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Posts,50,389,321,498,652,1612,279,1612,0.000%,4.95295,139.51,0.65
Get User Albums ,50,189,162,176,206,1077,137,1077,0.000%,5.10152,10.71,0.72
Get User Todos,50,159,157,174,179,189,135,189,0.000%,5.31406,18.71,0.74
Get Albums Photos,50,188,165,182,201,1170,141,1170,0.000%,5.30898,62.56,0.75
Get Post Comments By Id,50,197,162,182,324,720,138,720,0.000%,5.31463,14.74,0.76
Get Post Comments,50,180,161,187,195,763,135,763,0.000%,5.32481,14.77,0.76
Get Posts By Id,50,176,158,174,191,946,134,946,0.000%,5.34074,8.52,0.71
Post User Posts,50,376,354,371,393,849,330,849,0.000%,5.06791,7.28,2.46
Post User Todos,50,353,349,369,371,455,325,455,0.000%,5.06688,7.27,1.41
Post User Albums ,50,354,350,375,377,422,326,422,0.000%,5.03018,7.23,1.29
Post Albums Photos,50,354,351,372,388,421,328,421,0.000%,5.01706,7.23,2.03
Post Request,50,357,352,377,392,447,329,447,0.000%,5.01605,7.32,1.21
Delete Post,50,359,350,371,379,716,326,716,0.000%,5.01203,6.38,1.09
Put Post request,50,352,350,370,379,392,330,392,0.000%,4.99351,6.76,1.36
Options User Todos,50,373,347,375,466,740,331,740,0.000%,5.00651,5.91,0.72
Options User Albums ,50,364,348,366,375,725,324,725,0.000%,4.94903,5.84,0.72
Options Albums Photos,50,360,351,409,428,511,327,511,0.000%,4.91642,5.80,0.72
TOTAL,850,299,341,370,414,725,134,1612,0.000%,56.07230,217.99,11.74
