Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Posts,50,389,279,1612,199.78,0.000%,4.95295,139.51,0.65,28843.1
Get User Albums ,50,189,137,1077,141.92,0.000%,5.10152,10.71,0.72,2149.1
Get User Todos,50,159,135,189,11.35,0.000%,5.31406,18.71,0.74,3605.4
Get Albums Photos,50,188,141,1170,142.88,0.000%,5.30898,62.56,0.75,12066.8
Get Post Comments By Id,50,197,138,720,124.19,0.000%,5.31463,14.74,0.76,2840.5
Get Post Comments,50,180,135,763,90.02,0.000%,5.32481,14.77,0.76,2840.3
Get Posts By Id,50,176,134,946,111.53,0.000%,5.34074,8.52,0.71,1634.3
Post User Posts,50,376,330,849,96.69,0.000%,5.06791,7.28,2.46,1470.7
Post User Todos,50,353,325,455,18.48,0.000%,5.06688,7.27,1.41,1470.1
Post User Albums ,50,354,326,422,16.05,0.000%,5.03018,7.23,1.29,1471.1
Post Albums Photos,50,354,328,421,17.22,0.000%,5.01706,7.23,2.03,1474.9
Post Request,50,357,329,447,25.14,0.000%,5.01605,7.32,1.21,1495.3
Delete Post,50,359,326,716,53.50,0.000%,5.01203,6.38,1.09,1303.4
Put Post request,50,352,330,392,13.94,0.000%,4.99351,6.76,1.36,1385.4
Options User Todos,50,373,331,740,89.17,0.000%,5.00651,5.91,0.72,1208.8
Options User Albums ,50,364,324,725,74.21,0.000%,4.94903,5.84,0.72,1208.9
Options Albums Photos,50,360,327,511,34.77,0.000%,4.91642,5.80,0.72,1208.8
TOTAL,850,299,134,1612,127.26,0.000%,56.07230,217.99,11.74,3981.0
