Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
UTC Options User Todos,1179,25201,21499,21569,157012,195640,433,479989,6.955%,2.35335,3.06,0.31
UTC Options User Albums ,1070,1130,337,376,451,21495,307,207943,0.374%,3.21432,3.83,0.46
UTC Options Albums Photos,1056,559,337,366,402,801,307,148755,0.284%,3.78803,4.51,0.55
UTC Delete Post,1052,391,339,368,406,637,311,21523,0.000%,3.79139,4.84,0.83
UTC Put Post request,1046,354,341,371,401,759,312,1210,0.000%,3.81023,5.17,1.03
UTC Post User Todos,1040,355,339,373,425,806,312,1210,0.000%,3.78833,5.46,1.05
UTC Post User Posts,1034,354,340,370,418,736,309,1255,0.000%,3.76652,5.43,1.83
UTC Post User Albums ,1023,352,340,371,400,584,311,1693,0.000%,3.72633,5.38,0.95
UTC Post Albums Photos,1011,353,340,372,413,652,311,1209,0.000%,3.68095,5.33,1.49
UTC Post Request,999,349,340,365,399,543,311,1210,0.000%,3.63613,5.33,0.87
UTC Get Posts,994,178,157,244,301,527,124,1075,0.000%,3.64607,102.74,0.48
UTC Get User Albums ,991,158,149,178,201,386,119,964,0.000%,3.63532,7.63,0.51
UTC Get User Todos,989,163,150,189,242,380,119,1052,0.000%,3.62804,12.78,0.51
UTC Get Albums Photos,988,168,153,194,261,542,124,1080,0.000%,3.62437,42.71,0.51
UTC Get Post Comments By Id,988,162,150,186,228,408,121,876,0.000%,3.62403,10.06,0.52
UTC Get Post Comments,983,160,150,182,216,344,122,1023,0.000%,3.60566,10.00,0.51
UTC Get Posts By Id,979,158,148,177,212,346,124,841,0.000%,3.59166,5.74,0.48
TOTAL,17422,2022,329,409,16467,21550,119,479989,0.511%,34.77528,132.67,7.27
