Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
UTC Options User Todos,1179,25201,433,479989,42730.36,6.955%,2.35335,3.06,0.31,1331.1
UTC Options User Albums ,1070,1130,307,207943,10234.25,0.374%,3.21432,3.83,0.46,1219.5
UTC Options Albums Photos,1056,559,307,148755,4742.86,0.284%,3.78803,4.51,0.55,1218.3
UTC Delete Post,1052,391,311,21523,924.29,0.000%,3.79139,4.84,0.83,1306.9
UTC Put Post request,1046,354,312,1210,71.55,0.000%,3.81023,5.17,1.03,1388.7
UTC Post User Todos,1040,355,312,1210,81.03,0.000%,3.78833,5.46,1.05,1475.6
UTC Post User Posts,1034,354,309,1255,74.58,0.000%,3.76652,5.43,1.83,1476.8
UTC Post User Albums ,1023,352,311,1693,73.76,0.000%,3.72633,5.38,0.95,1477.8
UTC Post Albums Photos,1011,353,311,1209,64.95,0.000%,3.68095,5.33,1.49,1482.6
UTC Post Request,999,349,311,1210,53.30,0.000%,3.63613,5.33,0.87,1502.3
UTC Get Posts,994,178,124,1075,84.23,0.000%,3.64607,102.74,0.48,28853.6
UTC Get User Albums ,991,158,119,964,53.47,0.000%,3.63532,7.63,0.51,2150.3
UTC Get User Todos,989,163,119,1052,65.47,0.000%,3.62804,12.78,0.51,3606.3
UTC Get Albums Photos,988,168,124,1080,70.55,0.000%,3.62437,42.71,0.51,12067.3
UTC Get Post Comments By Id,988,162,121,876,59.69,0.000%,3.62403,10.06,0.52,2841.2
UTC Get Post Comments,983,160,122,1023,52.63,0.000%,3.60566,10.00,0.51,2841.2
UTC Get Posts By Id,979,158,124,841,51.93,0.000%,3.59166,5.74,0.48,1635.2
TOTAL,17422,2022,119,479989,13056.21,0.511%,34.77528,132.67,7.27,3906.7
